sequence,date,event,event1,event2,date_formatted
357,2017-04-22,UFC Fight Night: Swanson vs. Lobov,UFC Fight Night: Swanson vs. Lobov,,"April 22, 2017"
358,2017-05-13,UFC 211: Miocic vs. dos Santos 2,UFC 211: Miocic vs. dos Santos 2,,"May 13, 2017"
359,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,UFC Fight Night: Gustafsson vs. Teixeira,,"May 28, 2017"
360,2017-06-03,UFC 212: Aldo vs. Holloway,UFC 212: Aldo vs. Holloway,,"June 03, 2017"
361,2017-06-11,UFC Fight Night: Lewis vs. Hunt,UFC Fight Night: Lewis vs. Hunt,,"June 11, 2017"
362,2017-06-17,UFC Fight Night: Holm vs. Correia,UFC Fight Night: Holm vs. Correia,,"June 17, 2017"
363,2017-06-25,UFC Fight Night: Chiesa vs. Lee,UFC Fight Night: Chiesa vs. Lee,,"June 25, 2017"
364,2017-07-07,The Ultimate Fighter: Redemption Finale,The Ultimate Fighter: Redemption Finale,,"July 07, 2017"
365,2017-07-08,UFC 213: Romero vs. Whittaker,UFC 213: Romero vs. Whittaker,,"July 08, 2017"
366,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,UFC Fight Night: Nelson vs. Ponzinibbio,,"July 16, 2017"
367,2017-07-22,UFC on Fox: Weidman vs. Gastelum,UFC on Fox: Weidman vs. Gastelum,,"July 22, 2017"
368,2017-07-29,UFC 214: Cormier vs. Jones 2,UFC 214: Cormier vs. Jones 2,,"July 29, 2017"
369,2017-08-05,UFC Fight Night: Pettis vs. Moreno,UFC Fight Night: Pettis vs. Moreno,,"August 05, 2017"
370,2017-09-02,UFC Fight Night: Volkov vs. Struve,UFC Fight Night: Volkov vs. Struve,,"September 02, 2017"
371,2017-09-09,UFC 215: Nunes vs. Shevchenko 2,UFC 215: Nunes vs. Shevchenko 2,,"September 09, 2017"
372,2017-09-16,UFC Fight Night: Rockhold vs. Branch,UFC Fight Night: Rockhold vs. Branch,,"September 16, 2017"
373,2017-09-23,UFC Fight Night: Saint Preux vs. Okami,UFC Fight Night: Saint Preux vs. Okami,,"September 23, 2017"
374,2017-10-07,UFC 216: Ferguson vs. Lee,UFC 216: Ferguson vs. Lee,,"October 07, 2017"
